Job Title,EX_level_demand,Description,Technical_Tool,Applicants_Num,Spent($),Client_Country,Hourly_Rate
Application Development,Intermediate,Energy and Utilities,Balsamiq,Less than 5,41700.0,Canada,16.0
Web Scraping,Intermediate,Automotive,WebHarvy,Less than 5,8100.0,Indonesia,17.0
Application Development,Intermediate,Small Business/Local Business,Figma,20 to 50,50300.0,Germany,21.0
Website Development,Entry Level,Non-Profit and NGOs,Ruby on Rails,15 to 20,53800.0,Australia,6.0
Application Development,Intermediate,Real Estate,Balsamiq,10 to 15,22100.0,United Arab Emirates,32.0
Application Development,Intermediate,Retail (Non-E-commerce),Balsamiq,50+,22400.0,Switzerland,30.0
Website Development,Expert,Real Estate,Next.js,15 to 20,42600.0,Israel,19.0
Application Development,Entry Level,Small Business/Local Business,Balsamiq,50+,3900.0,China,17.0
Web Scraping,Intermediate,Real Estate,OutWit Hub,Less than 5,35500.0,United Arab Emirates,27.0
Web Scraping,Intermediate,Non-Profit and NGOs,OutWit Hub,15 to 20,79800.0,Israel,18.0
Application Development,Intermediate,E-Commerce,Figma,50+,54900.0,Netherlands,25.0
Web Scraping,Intermediate,Telecommunications,OutWit Hub,50+,98700.0,Spain,23.0
Web Scraping,Entry Level,Automotive,OutWit Hub,50+,1500.0,South Korea,22.0
Application Development,Expert,Manufacturing and Industrial,Proto.io,50+,89800.0,Japan,24.0
Web Scraping,Entry Level,Energy and Utilities,DataMiner,15 to 20,77300.0,Japan,19.0
Website Development,Expert,Energy and Utilities,WordPress,Less than 5,88200.0,India,18.0
Website Development,Intermediate,Real Estate,Flutter,20 to 50,5800.0,Israel,20.0
Web Scraping,Entry Level,Finance and Banking,Scrapy,15 to 20,16900.0,South Korea,22.0
Web Scraping,Expert,Retail (Non-E-commerce),OutWit Hub,Less than 5,69200.0,Thailand,26.0
Website Development,Expert,Energy and Utilities,Flutter,50+,59300.0,Israel,20.0
Web Scraping,Entry Level,Media and Entertainment,Scrapy,10 to 15,43600.0,China,12.0
Website Development,Expert,Small Business/Local Business,Next.js,20 to 50,37400.0,Israel,20.0
Application Development,Expert,Non-Profit and NGOs,Figma,Less than 5,63000.0,South Korea,27.0
Web Scraping,Expert,Insurance,WebHarvy,15 to 20,40100.0,South Korea,22.0
Website Development,Intermediate,Telecommunications,Laravel,20 to 50,64900.0,Brazil,12.0
Web Scraping,Entry Level,Healthcare,DataMiner,50+,78200.0,Thailand,26.0
Application Development,Intermediate,Insurance,Sketch,Less than 5,6900.0,Canada,16.0
Web Scraping,Intermediate,Telecommunications,Octoparse,50+,53700.0,India,16.0
Application Development,Intermediate,Construction and Engineering,UXPin,50+,29400.0,Netherlands,25.0
Web Scraping,Intermediate,Non-Profit and NGOs,OutWit Hub,5 to 10,37000.0,Russia,21.0
Website Development,Intermediate,Energy and Utilities,TypeScript,50+,4300.0,Austria,10.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,WebHarvy,20 to 50,13200.0,Mexico,19.0
Website Development,Entry Level,Hospitality and Travel,Visual Studio Code,50+,4700.0,Japan,21.0
