Job Type,EX_level_demand,Industry,Technical_Tool,Competitive Level,Client_Country,Hourly_Rate
Application Development,Intermediate,Energy and Utilities,Balsamiq,Uncompetitive,Canada,16.0
Web Scraping,Intermediate,Automotive,WebHarvy,Uncompetitive,Indonesia,17.0
Application Development,Intermediate,Small Business/Local Business,Figma,Competitive,Germany,21.0
Website Development,Entry Level,Non-Profit and NGOs,Ruby on Rails,Competitive,Australia,6.0
Application Development,Intermediate,Real Estate,Balsamiq,Competitive,United Arab Emirates,32.0
Application Development,Intermediate,Retail (Non-E-commerce),Balsamiq,Extremely Competitive,Switzerland,30.0
Website Development,Expert,Real Estate,Next.js,Competitive,Israel,19.0
Application Development,Entry Level,Small Business/Local Business,Balsamiq,Extremely Competitive,China,17.0
Web Scraping,Intermediate,Real Estate,OutWit Hub,Uncompetitive,United Arab Emirates,27.0
Web Scraping,Intermediate,Non-Profit and NGOs,OutWit Hub,Competitive,Israel,18.0
Application Development,Intermediate,E-Commerce,Figma,Extremely Competitive,Netherlands,25.0
Web Scraping,Intermediate,Telecommunications,OutWit Hub,Extremely Competitive,Spain,23.0
Web Scraping,Entry Level,Automotive,OutWit Hub,Extremely Competitive,South Korea,22.0
Application Development,Expert,Manufacturing and Industrial,Proto.io,Extremely Competitive,Japan,24.0
Web Scraping,Entry Level,Energy and Utilities,DataMiner,Competitive,Japan,19.0
Website Development,Expert,Energy and Utilities,WordPress,Uncompetitive,India,18.0
Website Development,Intermediate,Real Estate,Flutter,Competitive,Israel,20.0
Web Scraping,Entry Level,Finance and Banking,Scrapy,Competitive,South Korea,22.0
Web Scraping,Expert,Retail (Non-E-commerce),OutWit Hub,Uncompetitive,Thailand,26.0
Website Development,Expert,Energy and Utilities,Flutter,Extremely Competitive,Israel,20.0
Web Scraping,Entry Level,Media and Entertainment,Scrapy,Competitive,China,12.0
Website Development,Expert,Small Business/Local Business,Next.js,Competitive,Israel,20.0
Application Development,Expert,Non-Profit and NGOs,Figma,Uncompetitive,South Korea,27.0
Web Scraping,Expert,Insurance,WebHarvy,Competitive,South Korea,22.0
Website Development,Intermediate,Telecommunications,Laravel,Competitive,Brazil,12.0
Web Scraping,Entry Level,Healthcare,DataMiner,Extremely Competitive,Thailand,26.0
